# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,GER,Ben Voll
2,DF,GRE,Manolis Saliakas
3,DF,EST,Karol Mets
4,DF,AUT,David Nemeth
5,DF,GER,Hauke Wahl
6,MF,USA,James Sands (on loan from New York City)
7,MF,AUS,Jackson Irvine (captain)
8,DF,SWE,Eric Smith (vice-captain)
9,FW,GAM,Abdoulie Ceesay
10,FW,LUX,Danel Sinani
11,DF,POL,Arkadiusz Pyrka
14,DF,WAL,Fin Stevens
16,MF,JPN,Joel Chima Fujita
17,MF,ENG,Dapo Afolayan
No.,Pos.,Nation,Player
19,FW,NED,Martijn Kaars
20,MF,SWE,Erik Ahlstrand
21,DF,GER,Lars Ritzka
22,GK,BIH,Nikola Vasilj
23,DF,GER,Louis Oppie
24,MF,AUS,Connor Metcalfe
25,DF,POL,Adam Dźwigała
26,FW,ENG,Ricky-Jade Jones
27,FW,BEN,Andréas Hountondji (on loan from Burnley)
28,MF,POR,Mathias Pereira Lage
30,GK,AUT,Simon Spari
34,DF,AUT,Jannik Robatsch
38,FW,GER,Romeo Aigbekaen
42,MF,GER,Marwin Schmitz
