# Liverpool FC honours
Type,Competition,Titles,Seasons
Domestic,First Division/Premier League,20s,"1900–01, 1905–06, 1921–22, 1922–23, 1946–47, 1963–64, 1965–66, 1972–73, 1975–76, 1976–77, 1978–79, 1979–80, 1981–82, 1982–83, 1983–84, 1985–86, 1987–88, 1989–90, 2019–20, 2024–25"
Domestic,Second Division,4,"1893–94, 1895–96, 1904–05, 1961–62"
Domestic,FA Cup,8,"1964–65, 1973–74, 1985–86, 1988–89, 1991–92, 2000–01, 2005–06, 2021–22"
Domestic,Football League Cup/EFL Cup,10,"1980–81, 1981–82, 1982–83, 1983–84, 1994–95, 2000–01, 2002–03, 2011–12, 2021–22, 2023–24"
Domestic,FA Charity Shield/FA Community Shield,16,"1964*, 1965*, 1966, 1974, 1976, 1977*, 1979, 1980, 1982, 1986*, 1988, 1989, 1990*, 2001, 2006, 2022 (* shared)"
Domestic,Football League Super Cup,1,1985–86
Continental,European Cup/UEFA Champions League,6,"1976–77, 1977–78, 1980–81, 1983–84, 2004–05, 2018–19"
Continental,UEFA Cup/UEFA Europa League,3,"1972–73, 1975–76, 2000–01"
Continental,UEFA Super Cup,4,"1977, 2001, 2005, 2019"
Worldwide,FIFA Club World Cup,1,2019
