# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,BRA,Luiz Júnior
2,DF,CPV,Logan Costa
3,DF,ESP,Adrià Altimira
4,DF,ESP,Rafa Marín (on loan from Napoli)
5,DF,FRA,Willy Kambwala
6,FW,ISR,Manor Solomon (on loan from Tottenham Hotspur)
7,FW,ESP,Gerard Moreno (vice-captain)
8,DF,ARG,Juan Foyth (3rd captain)
9,FW,GEO,Georges Mikautadze
10,MF,ESP,Dani Parejo (captain)
11,FW,MAR,Ilias Akhomach
12,DF,POR,Renato Veiga
13,GK,ESP,Diego Conde
No.,Pos.,Nation,Player
14,MF,ESP,Santi Comesaña
15,DF,URU,Santiago Mouriño
16,MF,GHA,Thomas Partey
17,MF,CAN,Tajon Buchanan
18,MF,SEN,Pape Gueye
19,FW,CIV,Nicolas Pépé
20,MF,ESP,Alberto Moleiro
21,FW,CAN,Tani Oluwaseyi
22,FW,ESP,Ayoze Pérez
23,DF,ESP,Sergi Cardona
24,DF,ESP,Alfonso Pedraza (4th captain)
25,GK,ESP,Arnau Tenas
26,DF,ESP,Pau Navarro
