# Juventus F.C. honours
Type,Competitions,Titles,Seasons
Domestic,Serie A,36,"1905, 1925–26, 1930–31, 1931–32, 1932–33, 1933–34, 1934–35, 1949–50, 1951–52, 1957–58 (), 1959–60, 1960–61, 1966–67, 1971–72, 1972–73, 1974–75, 1976–77, 1977–78, 1980–81, 1981–82 (), 1983–84, 1985–86, 1994–95, 1996–97, 1997–98, 2001–02, 2002–03, 2011–12, 2012–13, 2013–14 (), 2014–15, 2015–16, 2016–17, 2017–18, 2018–19, 2019–20"
Domestic,Serie B,1,2006–07
Domestic,Coppa Italia,15,"1937–38, 1941–42, 1958–59, 1959–60, 1964–65, 1978–79, 1982–83, 1989–90, 1994–95, 2014–15, 2015–16, 2016–17, 2017–18, 2020–21, 2023–24"
Domestic,Supercoppa Italiana,9,"1995, 1997, 2002, 2003, 2012, 2013, 2015, 2018, 2020"
Continental,European Cup / UEFA Champions League,2,"1984–85, 1995–96"
Continental,UEFA Cup Winners' Cup,1,1983–84
Continental,UEFA Cup,3,"1976–77, 1989–90, 1992–93"
Continental,European Super Cup / UEFA Super Cup,2,"1984, 1996"
Continental,UEFA Intertoto Cup,1,1999
Worldwide,Intercontinental Cup,2,"1985, 1996"
