# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,GER,Manuel Neuer (captain)
2,DF,FRA,Dayot Upamecano
3,DF,KOR,Kim Min-jae
4,DF,GER,Jonathan Tah
6,MF,GER,Joshua Kimmich (vice-captain)
7,FW,GER,Serge Gnabry
8,MF,GER,Leon Goretzka (3rd captain)
9,FW,ENG,Harry Kane
10,MF,GER,Jamal Musiala
11,FW,SEN,Nicolas Jackson (on loan from Chelsea)
14,FW,COL,Luis Díaz
17,FW,FRA,Michael Olise
No.,Pos.,Nation,Player
19,DF,CAN,Alphonso Davies
20,MF,GER,Tom Bischof
21,DF,JPN,Hiroki Ito
22,DF,POR,Raphaël Guerreiro
23,DF,FRA,Sacha Boey
26,GK,GER,Sven Ulreich
27,MF,AUT,Konrad Laimer
40,GK,GER,Jonas Urbig
42,MF,GER,Lennart Karl
44,DF,CRO,Josip Stanišić
45,MF,GER,Aleksandar Pavlović
48,GK,GER,Leon Klanac
