# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ARG,Juan Musso
2,DF,URU,José María Giménez (3rd captain)
3,DF,ITA,Matteo Ruggeri
4,MF,ENG,Conor Gallagher
5,MF,USA,Johnny Cardoso
6,MF,ESP,Koke (captain)
7,FW,FRA,Antoine Griezmann
8,MF,ESP,Pablo Barrios
9,FW,NOR,Alexander Sørloth
10,MF,ESP,Álex Baena
11,FW,ARG,Thiago Almada
12,FW,ESP,Carlos Martín
No.,Pos.,Nation,Player
13,GK,SVN,Jan Oblak (vice-captain)
14,MF,ESP,Marcos Llorente
15,DF,FRA,Clément Lenglet
16,DF,ARG,Nahuel Molina
17,DF,SVK,Dávid Hancko
18,DF,ESP,Marc Pubill
19,FW,ARG,Julián Alvarez
20,FW,ARG,Giuliano Simeone
21,DF,ESP,Javi Galán
22,FW,ITA,Giacomo Raspadori
23,MF,ARG,Nico González (on loan from Juventus)
24,DF,ESP,Robin Le Normand
