# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ENG,Dean Henderson
2,DF,COL,Daniel Muñoz
3,DF,ENG,Tyrick Mitchell
5,DF,FRA,Maxence Lacroix
6,DF,ENG,Marc Guéhi (captain)
7,MF,SEN,Ismaïla Sarr
8,MF,COL,Jefferson Lerma
9,FW,ENG,Eddie Nketiah
10,MF,ESP,Yéremy Pino
12,MF,NGA,Christantus Uche (on loan from Getafe)
14,FW,FRA,Jean-Philippe Mateta
17,DF,ENG,Nathaniel Clyne
18,MF,JPN,Daichi Kamada
19,MF,ENG,Will Hughes
No.,Pos.,Nation,Player
20,MF,ENG,Adam Wharton
21,MF,ENG,Romain Esse
23,DF,FRA,Jaydee Canvot
24,DF,CRO,Borna Sosa
26,DF,USA,Chris Richards
28,MF,MLI,Cheick Doucouré
29,MF,FRA,Naouirou Ahamada
31,GK,ENG,Remi Matthews
34,DF,MAR,Chadi Riad
38,DF,ENG,Caleb Kporha
42,MF,ENG,Kaden Rodney
44,GK,ARG,Walter Benítez
55,MF,NIR,Justin Devenny
59,DF,TRI,Rio Cardines
