# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ITA,Alberto Paleari
3,DF,NED,Perr Schuurs
5,DF,MAR,Adam Masina
6,MF,TUR,Emirhan İlkhan
7,FW,MAR,Zakaria Aboukhlal
8,MF,SRB,Ivan Ilić
10,MF,CRO,Nikola Vlašić (vice-captain)
13,DF,CHI,Guillermo Maripán
14,MF,ENG,Tino Anjorin (on loan from Empoli)
15,DF,GEO,Saba Sazonov
16,DF,NOR,Marcus Pedersen
18,FW,ARG,Giovanni Simeone (on loan from Napoli)
19,FW,SCO,Ché Adams
20,DF,AUT,Valentino Lazaro
21,DF,FRA,Ali Dembélé
No.,Pos.,Nation,Player
22,MF,ITA,Cesare Casadei
23,DF,EQG,Saúl Coco
25,DF,FRA,Niels Nkounkou (on loan from Eintracht Frankfurt)
26,FW,BEL,Cyril Ngonge (on loan from Napoli)
32,MF,ALB,Kristjan Asllani (on loan from Inter Milan)
34,DF,ITA,Cristiano Biraghi
44,DF,ALB,Ardian Ismajli
61,MF,FRA,Adrien Tamèze
66,MF,LTU,Gvidas Gineitis
71,GK,ROU,Mihai Popa
81,GK,URU,Franco Israel
83,MF,MDA,Sergiu Perciun
91,FW,COL,Duván Zapata (captain)
92,FW,SWE,Alieu Njie
