# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,SUI,Gregor Kobel
2,DF,BRA,Yan Couto
3,DF,GER,Waldemar Anton
4,DF,GER,Nico Schlotterbeck (3rd captain)
5,DF,ALG,Ramy Bensebaini
6,MF,TUR,Salih Özcan
7,MF,ENG,Jobe Bellingham
8,MF,GER,Felix Nmecha
9,FW,GUI,Serhou Guirassy
10,MF,GER,Julian Brandt (vice-captain)
13,MF,GER,Pascal Groß
14,FW,GER,Maximilian Beier
16,FW,BEL,Julien Duranville
17,MF,ENG,Carney Chukwuemeka
No.,Pos.,Nation,Player
20,MF,AUT,Marcel Sabitzer
21,FW,POR,Fábio Silva
23,MF,GER,Emre Can (captain)
24,DF,SWE,Daniel Svensson
25,DF,GER,Niklas Süle
26,DF,NOR,Julian Ryerson
27,FW,GER,Karim Adeyemi
28,DF,ARG,Aaron Anselmino (on loan from Chelsea)
30,GK,GER,Patrick Drewes
31,GK,GER,Silas Ostrzinski
33,GK,GER,Alexander Meyer
37,FW,USA,Cole Campbell
39,DF,ITA,Filippo Mané
42,DF,GER,Almugera Kabar
