# 
0,1,2,3
No.,Pos.,Nation,Player
2,DF,KEN,Joseph Okumu
3,DF,JPN,Hiroki Sekine
4,DF,BEL,Maxime Busi
5,DF,FRA,Nicolas Pallois
6,MF,BEL,Théo Leoni
7,FW,FRA,Antoine Leautey
8,MF,CIV,Yaya Fofana
9,FW,DEN,Mohamed Daramy
10,MF,MLT,Teddy Teuma
11,FW,FRA,Amine Salama
17,MF,JPN,Keito Nakamura
18,DF,ESP,Sergio Akieme
20,GK,FRA,Alexandre Olliero
23,MF,FRA,Yohan Demoncy
No.,Pos.,Nation,Player
24,MF,CIV,Mory Gbane
27,FW,GAM,Adama Bojang
28,DF,CIV,Elie N'Tamon
29,GK,FRA,Ewen Jaouen
30,MF,IRL,John Patrick
58,MF,MLI,Thiemoko Diarra
73,FW,IRL,Ike Orazi
74,DF,BEL,Vincent Burlet (on loan from Lille)
77,FW,BEL,Norman Bassette (on loan from Coventry City)
85,FW,NGA,Hafiz Umar Ibrahim
86,MF,CIV,Patrick Zabi
87,MF,MLI,Ange Martial Tia
92,DF,FRA,Abdoul Koné
94,GK,GUI,Soumaïla Sylla
