# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ITA,Guglielmo Vicario
3,DF,ROU,Radu Drăgușin
4,DF,AUT,Kevin Danso
6,MF,POR,João Palhinha (on loan from Bayern Munich)
7,MF,NED,Xavi Simons
8,MF,MLI,Yves Bissouma
9,FW,BRA,Richarlison
10,MF,ENG,James Maddison (vice-captain)
11,FW,FRA,Mathys Tel
13,DF,ITA,Destiny Udogie
14,MF,ENG,Archie Gray
15,MF,SWE,Lucas Bergvall
17,DF,ARG,Cristian Romero (captain)
19,FW,ENG,Dominic Solanke
20,FW,GHA,Mohammed Kudus
No.,Pos.,Nation,Player
21,FW,SWE,Dejan Kulusevski
22,FW,WAL,Brennan Johnson
23,DF,ESP,Pedro Porro
24,DF,ENG,Djed Spence
25,DF,JPN,Kōta Takai
28,FW,FRA,Wilson Odobert
29,MF,SEN,Pape Matar Sarr
30,MF,URU,Rodrigo Bentancur
31,GK,CZE,Antonín Kinský
33,DF,WAL,Ben Davies
37,DF,NED,Micky van de Ven
39,FW,FRA,Randal Kolo Muani (on loan from Paris Saint-Germain)
40,GK,USA,Brandon Austin
44,FW,ENG,Dane Scarlett
