# Table 2
Type,Competition,Titles,Seasons
Domestic,La Liga,11.0,"1939–40, 1940–41, 1949–50, 1950–51, 1965–66, 1969–70, 1972–73, 1976–77, 1995–96, 2013–14, 2020–21"
Domestic,Segunda División,1.0,2001–02
Domestic,Copa del Rey,10.0,"1959–60, 1960–61, 1964–65, 1971–72, 1975–76, 1984–85, 1990–91, 1991–92, 1995–96, 2012–13"
Domestic,Supercopa de España,2.0,"1985, 2014"
Domestic,Copa Presidente FEF,1.0,1941–47
Domestic,Copa Eva Duarte,1.0,1951
Continental,UEFA Europa League,3.0,"2009–10, 2011–12, 2017–18"
Continental,UEFA Cup Winners' Cup,1.0,1961–62
Continental,UEFA Super Cup,3.0,"2010, 2012, 2018"
Worldwide,,,
Worldwide,Intercontinental Cup,1.0,1974
Regional,Campeonato de Madrid/Campeonato Regional Centro,4.0,"1920–21, 1924–25, 1927–28, 1939–40"
Regional,Copa Federación Centro,1.0,1940–41
