# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,BRA,Alisson Becker
2,DF,ENG,Joe Gomez
3,MF,JPN,Wataru Endo
4,DF,NED,Virgil van Dijk (captain)
5,DF,FRA,Ibrahima Konaté
6,DF,HUN,Milos Kerkez
7,MF,GER,Florian Wirtz
8,MF,HUN,Dominik Szoboszlai
9,FW,SWE,Alexander Isak
10,MF,ARG,Alexis Mac Allister
11,FW,EGY,Mohamed Salah
12,DF,NIR,Conor Bradley
14,FW,ITA,Federico Chiesa
15,DF,ITA,Giovanni Leoni
No.,Pos.,Nation,Player
17,MF,ENG,Curtis Jones
18,FW,NED,Cody Gakpo
22,FW,FRA,Hugo Ekitike
25,GK,GEO,Giorgi Mamardashvili
26,DF,SCO,Andy Robertson (vice-captain)
28,GK,ENG,Freddie Woodman
30,DF,NED,Jeremie Frimpong
38,MF,NED,Ryan Gravenberch
41,GK,HUN,Ármin Pécsi
42,MF,ENG,Trey Nyoni
43,MF,ESP,Stefan Bajcetic
46,DF,ENG,Rhys Williams
47,DF,SCO,Calvin Ramsay
73,FW,ENG,Rio Ngumoha
