# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,TUR,Altay Bayındır
2,DF,POR,Diogo Dalot
3,DF,MAR,Noussair Mazraoui
4,DF,NED,Matthijs de Ligt
5,DF,ENG,Harry Maguire
6,DF,ARG,Lisandro Martínez
7,MF,ENG,Mason Mount
8,MF,POR,Bruno Fernandes (captain)
10,FW,BRA,Matheus Cunha
11,FW,NED,Joshua Zirkzee
12,DF,NED,Tyrell Malacia
13,DF,DEN,Patrick Dorgu
15,DF,FRA,Leny Yoro
No.,Pos.,Nation,Player
16,FW,CIV,Amad Diallo
18,MF,BRA,Casemiro
19,FW,CMR,Bryan Mbeumo
22,GK,ENG,Tom Heaton
23,DF,ENG,Luke Shaw
25,MF,URU,Manuel Ugarte
26,DF,ENG,Ayden Heaven
30,FW,SVN,Benjamin Šeško
31,GK,BEL,Senne Lammens
32,FW,DEN,Chido Obi
33,DF,ENG,Tyler Fredricson
35,DF,PAR,Diego León
37,MF,ENG,Kobbie Mainoo
