# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,FRA,Jean Butez
2,DF,GER,Marc-Oliver Kempf
3,DF,ESP,Álex Valle
4,DF,ITA,Alberto Dossena
5,DF,ITA,Edoardo Goldaniga
6,MF,FRA,Maxence Caqueret
7,FW,ESP,Álvaro Morata (4th captain; on loan from AC Milan)
8,MF,ESP,Sergi Roberto (vice-captain)
10,MF,ARG,Nico Paz
11,FW,GRE,Anastasios Douvikas
12,GK,BRA,Henrique Menke (on loan from Internacional)
14,DF,ESP,Jacobo Ramón
17,FW,ESP,Jesús Rodríguez
18,DF,ESP,Alberto Moreno
No.,Pos.,Nation,Player
19,FW,GER,Nicolas Kühn
20,MF,CRO,Martin Baturina
22,GK,ITA,Mauro Vigorito
23,MF,ARG,Máximo Perrone
27,DF,AUT,Stefan Posch (on loan from Bologna)
28,DF,CRO,Ivan Smolčić
31,DF,KOS,Mërgim Vojvoda (3rd captain)
33,MF,FRA,Lucas Da Cunha (captain)
34,DF,BRA,Diego Carlos (on loan from Fenerbahçe)
38,FW,SEN,Assane Diao
42,FW,NED,Jayden Addai
44,GK,CRO,Nikola Čavlina (on loan from Dinamo Zagreb)
77,DF,BEL,Ignace Van Der Brempt
99,FW,ITA,Alberto Cerri
