# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,DEN,Mads Hermansen
2,DF,ENG,Kyle Walker-Peters
3,DF,ENG,Maximilian Kilman
5,DF,BRA,Igor Julio (on loan from Brighton & Hove Albion)
7,FW,NED,Crysencio Summerville
8,MF,ENG,James Ward-Prowse
9,FW,ENG,Callum Wilson
10,MF,BRA,Lucas Paquetá
11,FW,GER,Niclas Füllkrug
12,DF,SEN,El Hadji Malick Diouf
15,DF,GRE,Konstantinos Mavropanos
17,MF,BRA,Luis Guilherme
18,MF,POR,Mateus Fernandes
No.,Pos.,Nation,Player
20,FW,ENG,Jarrod Bowen (captain)
22,GK,POL,Łukasz Fabiański
23,GK,FRA,Alphonse Areola
24,MF,ARG,Guido Rodríguez
25,DF,FRA,Jean-Clair Todibo
27,MF,FRA,Soungoutou Magassa
28,MF,CZE,Tomáš Souček
29,DF,COD,Aaron Wan-Bissaka
30,DF,ENG,Oliver Scarles
32,MF,ENG,Freddie Potts
39,MF,SCO,Andy Irving
40,MF,ENG,George Earthy
50,FW,NIR,Callum Marshall
