# 
0,1,2,3
No.,Pos.,Nation,Player
2,DF,GER,Elias Baum
3,DF,BEL,Arthur Theate (vice captain)
4,DF,GER,Robin Koch (captain)
5,DF,SUI,Aurèle Amenda
6,MF,DEN,Oscar Højlund
7,MF,GER,Ansgar Knauff
8,FW,ALG,Farès Chaïbi
9,FW,GER,Jonathan Burkardt
13,DF,DEN,Rasmus Kristensen
15,MF,TUN,Ellyes Skhiri
16,MF,SWE,Hugo Larsson
17,FW,FRA,Elye Wahi
18,MF,SYR,Mahmoud Dahoud
19,MF,FRA,Jean-Mattéo Bahoya
20,MF,JPN,Ritsu Dōan
21,DF,GER,Nathaniel Brown
22,DF,USA,Timothy Chandler
23,GK,GER,Michael Zetterer
No.,Pos.,Nation,Player
24,DF,POR,Aurélio Buta
27,FW,GER,Mario Götze
30,FW,BEL,Michy Batshuayi
32,FW,GER,Jessic Ngankam
33,GK,GER,Jens Grahl
34,DF,GER,Nnamdi Collins
37,MF,GER,Jeremiaha Maluze
38,MF,GER,Ebu Bekir Is
39,GK,GER,Amil Šiljević
40,GK,BRA,Kauã Santos
41,DF,MLI,Fousseny Doumbia
42,MF,TUR,Can Uzun
44,DF,ECU,Davis Bautista
45,MF,USA,Marvin Dills
47,MF,HUN,Noah Fenyő
49,DF,ESP,Derek Boakye Osei
50,FW,GER,Alessandro Gaul Souza
