# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,GER,Noah Atubolu
3,DF,AUT,Philipp Lienhart
5,DF,GER,Anthony Jung
6,MF,GER,Patrick Osterhage
7,FW,GER,Derry Scherhant
8,MF,GER,Maximilian Eggestein
9,FW,GER,Lucas Höler
11,MF,GHA,Daniel-Kofi Kyereh
14,MF,JPN,Yuito Suzuki
17,DF,GER,Lukas Kübler
18,FW,GER,Eren Dinkçi
19,DF,GER,Jan-Niklas Beste
20,FW,AUT,Junior Adamu
21,GK,GER,Florian Müller
No.,Pos.,Nation,Player
22,FW,BFA,Cyriaque Irié
24,GK,GER,Jannik Huth
26,FW,GER,Maximilian Philipp
27,MF,GER,Nicolas Höfler
28,DF,GER,Matthias Ginter
29,DF,GER,Philipp Treu
30,DF,GER,Christian Günter (captain)
31,FW,CRO,Igor Matanović
32,MF,ITA,Vincenzo Grifo (vice-captain)
33,DF,FRA,Jordy Makengo
37,DF,GER,Max Rosenfelder
43,DF,SUI,Bruno Ogbus
44,MF,SUI,Johan Manzambi
