# 
0,1,2,3
No.,Pos.,Nation,Player
3,DF,CIV,Odilon Kossounou
4,DF,SWE,Isak Hien
5,DF,NED,Mitchel Bakker
6,MF,USA,Yunus Musah (on loan from AC Milan)
7,MF,GHA,Kamaldeen Sulemana
8,MF,CRO,Mario Pašalić
9,FW,ITA,Gianluca Scamacca
10,MF,SRB,Lazar Samardžić
11,FW,NGA,Ademola Lookman
13,MF,BRA,Éderson
15,MF,NED,Marten de Roon (captain)
16,DF,ITA,Raoul Bellanova
17,MF,BEL,Charles De Ketelaere
No.,Pos.,Nation,Player
19,DF,ALB,Berat Djimsiti (vice-captain)
23,DF,BIH,Sead Kolašinac
29,GK,ITA,Marco Carnesecchi
31,GK,ITA,Francesco Rossi
42,DF,ITA,Giorgio Scalvini
44,MF,ITA,Marco Brescianini
57,GK,ITA,Marco Sportiello
59,MF,POL,Nicola Zalewski
69,DF,ITA,Honest Ahanor
70,FW,ITA,Daniel Maldini
77,DF,ITA,Davide Zappacosta
90,FW,MNE,Nikola Krstović
