# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,POL,Kamil Grabara
2,DF,GER,Kilian Fischer
3,DF,SVK,Denis Vavro
4,DF,GRE,Konstantinos Koulierakis
5,MF,BRA,Vinícius Souza
7,FW,DEN,Andreas Skov Olsen
8,MF,HUN,Bence Dárdai
9,FW,ALG,Mohamed Amoura
10,MF,CRO,Lovro Majer
11,FW,DEN,Adam Daghim (on loan from Red Bull Salzburg)
12,GK,AUT,Pavao Pervan
13,DF,BRA,Rogério
14,DF,NED,Jenson Seelt (on loan from Sunderland)
15,DF,GER,Moritz Jenz
17,FW,GER,Dženan Pejčinović
No.,Pos.,Nation,Player
19,FW,DEN,Jesper Lindstrøm (on loan from Napoli)
21,DF,DEN,Joakim Mæhle
22,DF,FRA,Mathys Angely
23,FW,DEN,Jonas Wind
24,MF,DEN,Christian Eriksen
25,DF,GER,Aaron Zehnter
26,DF,FRA,Saël Kumbedi (on loan from Lyon)
27,MF,GER,Maximilian Arnold (captain)
29,GK,GER,Marius Müller
30,GK,POL,Jakub Zieliński
31,MF,GER,Yannick Gerhardt
32,MF,SWE,Mattias Svanberg
39,FW,AUT,Patrick Wimmer
40,MF,USA,Kevin Paredes
