# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ITA,Lorenzo Montipò
2,DF,ENG,Daniel Oyegoke
3,DF,DEN,Martin Frese
4,MF,ESP,Yellu Santiago
5,DF,ESP,Unai Nuñez (on loan from Celta Vigo)
6,DF,ARG,Nicolás Valentini (on loan from Fiorentina)
7,DF,ALG,Rafik Belghali
8,MF,GER,Suat Serdar (captain)
9,FW,SWE,Amin Sarr
10,MF,SVK,Tomáš Suslov
11,MF,CIV,Jean-Daniel Akpa Akpro
12,DF,CRO,Domagoj Bradarić
15,DF,DEN,Victor Nelsson (on loan from Galatasaray)
16,FW,NGA,Gift Orban (on loan from Hoffenheim)
17,FW,BRA,Giovane
No.,Pos.,Nation,Player
19,DF,DEN,Tobias Slotsager
20,MF,CYP,Grigoris Kastanos
21,MF,MAR,Abdou Harroui
23,DF,CMR,Enzo Ebosse (on loan from Udinese)
24,MF,FRA,Antoine Bernède
25,FW,COL,Daniel Mosquera
34,GK,ITA,Simone Perilli
36,MF,SEN,Cheikh Niasse
37,DF,GER,Armel Bella-Kotchap (on loan from Southampton)
63,MF,ITA,Roberto Gagliardini
70,DF,GAM,Fallou Cham
72,FW,CIV,Junior Ajayi
73,MF,LBY,Moatasem Al-Musrati (on loan from Beşiktaş)
94,GK,ITA,Giacomo Toniolo
99,GK,ITA,Mattia Chiesa
