# 
0,1,2,3
No.,Pos.,Nation,Player
3,DF,SEN,Abdoulaye Ndiaye
5,DF,ARG,Lautaro Valenti
7,FW,POL,Adrian Benedyczak
8,MF,ARG,Nahuel Estévez
9,FW,ARG,Mateo Pellegrino
10,MF,ESP,Adrián Bernabé
11,FW,SWE,Pontus Almqvist
14,DF,ITA,Emanuele Valeri
15,DF,ITA,Enrico Delprato (captain)
16,MF,BEL,Mandela Keita
17,FW,SWE,Jacob Ondrejka
18,DF,NOR,Mathias Løvik
19,MF,SVN,Tjaš Begić
20,FW,CRO,Matija Frigan
21,FW,ITA,Gaetano Oristanio (on loan from Venezia)
No.,Pos.,Nation,Player
22,MF,DEN,Oliver Sørensen
23,MF,BRA,Hernani (vice-captain)
24,MF,ARG,Christian Ordóñez
25,MF,USA,Benjamin Cremaschi (on loan from Inter Miami)
27,DF,SUI,Sascha Britschgi
30,FW,BIH,Milan Đurić
31,GK,JPN,Zion Suzuki
32,FW,ITA,Patrick Cutrone (on loan from Como)
37,DF,ARG,Mariano Troilo
39,DF,AUS,Alessandro Circati
40,GK,ITA,Edoardo Corvi
63,DF,ITA,Nicolas Trabucchi
64,GK,ITA,Gianluca Astaldi
65,MF,ITA,Elia Plicco
66,GK,ITA,Filippo Rinaldi
