# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,BRA,Lucas Perri
2,DF,ENG,Jayden Bogle
3,DF,SWE,Gabriel Gudmundsson
4,MF,WAL,Ethan Ampadu (captain)
5,DF,NED,Pascal Struijk
6,DF,WAL,Joe Rodon
7,MF,WAL,Daniel James
8,MF,ENG,Sean Longstaff
9,FW,ENG,Dominic Calvert-Lewin
10,FW,NED,Joël Piroe
11,MF,USA,Brenden Aaronson
14,FW,GER,Lukas Nmecha
15,DF,SVN,Jaka Bijol
No.,Pos.,Nation,Player
16,GK,FRA,Illan Meslier
18,MF,GER,Anton Stach
19,FW,SUI,Noah Okafor
20,MF,ENG,Jack Harrison
21,GK,ENG,Alex Cairns
22,MF,JPN,Ao Tanaka
23,DF,BEL,Sebastiaan Bornauw
24,DF,ENG,James Justin
25,DF,ENG,Sam Byram
26,GK,WAL,Karl Darlow
29,FW,ITA,Wilfried Gnonto
44,MF,BUL,Ilia Gruev
