# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,SVK,Dominik Greif
3,DF,ARG,Nicolás Tagliafico (4th captain)
5,MF,BEL,Orel Mangala
6,MF,USA,Tanner Tessmann
7,FW,CZE,Adam Karabec (on loan from Sparta Prague)
8,MF,FRA,Corentin Tolisso (captain)
10,MF,CZE,Pavel Šulc
11,FW,BEL,Malick Fofana
16,DF,BRA,Abner
17,FW,POR,Afonso Moreira
18,FW,ALG,Rachid Ghezzal
19,DF,SEN,Moussa Niakhaté (vice-captain)
20,FW,URU,Martín Satriano (on loan from Lens)
No.,Pos.,Nation,Player
21,DF,NED,Ruben Kluivert
22,DF,ANG,Clinton Mata (3rd captain)
23,MF,ENG,Tyler Morton
29,FW,FRA,Enzo Molebe
32,FW,ENG,Alejandro Gomes Rodríguez
37,FW,GHA,Ernest Nuamah
39,MF,POR,Mathys De Carvalho
40,GK,FRA,Rémy Descamps
41,DF,CRO,Teo Barišić
44,MF,FRA,Khalis Merah
50,GK,MLI,Lassine Diarra
98,DF,ENG,Ainsley Maitland-Niles
