# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ENG,Nick Pope
2,DF,ENG,Kieran Trippier (vice-captain)
3,DF,ENG,Lewis Hall
4,DF,NED,Sven Botman
5,DF,SUI,Fabian Schär
6,DF,ENG,Jamaal Lascelles (3rd captain)
7,MF,BRA,Joelinton
8,MF,ITA,Sandro Tonali
9,FW,COD,Yoane Wissa
10,FW,ENG,Anthony Gordon
11,FW,ENG,Harvey Barnes
12,DF,GER,Malick Thiaw
17,DF,SWE,Emil Krafth
18,FW,DEN,William Osula
No.,Pos.,Nation,Player
20,FW,SWE,Anthony Elanga
21,DF,ENG,Tino Livramento
23,MF,ENG,Jacob Murphy
26,GK,ENG,John Ruddy
27,FW,GER,Nick Woltemade
28,MF,ENG,Joe Willock
29,GK,ENG,Mark Gillespie
30,DF,SCO,Harrison Ashby
32,GK,ENG,Aaron Ramsdale (on loan from Southampton)
33,DF,ENG,Dan Burn
37,DF,IRL,Alex Murphy
39,MF,BRA,Bruno Guimarães (captain)
41,MF,ENG,Jacob Ramsey
67,MF,ENG,Lewis Miley
