# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ITA,Pietro Terracciano
2,DF,ECU,Pervis Estupiñán
4,MF,ITA,Samuele Ricci
5,DF,BEL,Koni De Winter
7,FW,MEX,Santiago Giménez
8,MF,ENG,Ruben Loftus-Cheek
10,FW,POR,Rafael Leão
11,MF,USA,Christian Pulisic
12,MF,FRA,Adrien Rabiot
14,MF,CRO,Luka Modrić
16,GK,FRA,Mike Maignan (captain)
No.,Pos.,Nation,Player
18,FW,FRA,Christopher Nkunku
19,MF,FRA,Youssouf Fofana
23,DF,ENG,Fikayo Tomori
24,DF,SUI,Zachary Athekame
27,DF,GER,David Odogu
30,MF,SUI,Ardon Jashari
31,DF,SRB,Strahinja Pavlović
33,DF,ITA,Davide Bartesaghi
46,DF,ITA,Matteo Gabbia (vice-captain)
56,MF,BEL,Alexis Saelemaekers
96,GK,ITA,Lorenzo Torriani
