# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ESP,Iván Villar
2,DF,SWE,Carl Starfelt
3,DF,ESP,Óscar Mingueza
4,DF,GHA,Joseph Aidoo
5,DF,ESP,Sergio Carreira
6,MF,GUI,Ilaix Moriba
7,FW,ESP,Borja Iglesias
8,MF,ESP,Fran Beltrán
9,FW,ESP,Ferran Jutglà
10,FW,ESP,Iago Aspas (captain)
11,FW,ARG,Franco Cervi
12,DF,ESP,Manu Fernández
13,GK,ROU,Ionuț Radu
No.,Pos.,Nation,Player
14,MF,ESP,Damián Rodríguez
15,FW,ESP,Bryan Zaragoza (on loan from Bayern Munich)
16,MF,ESP,Miguel Román
17,DF,ESP,Javi Rueda
18,FW,ESP,Pablo Durán
19,FW,SWE,Williot Swedberg
20,DF,ESP,Marcos Alonso
21,DF,SRB,Mihailo Ristić
22,MF,ESP,Hugo Sotelo
23,FW,ESP,Hugo Álvarez
24,DF,ESP,Carlos Domínguez
25,GK,ESP,Marc Vidal
32,DF,ESP,Javi Rodríguez
