# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,FRA,Brice Maubleu
2,DF,SRB,Strahinja Stojković
3,DF,FRA,Mickaël Nadé
4,MF,FRA,Pierre Ekwah
5,MF,ISR,Mahmoud Jaber
7,FW,MLT,Irvin Cardona
8,DF,FRA,Dennis Appiah
10,MF,FRA,Florian Tardieu
11,MF,NZL,Ben Old
13,DF,POR,João Ferreira
15,DF,POR,Chico Lamba
17,FW,ENG,Joshua Duffus
19,DF,GHA,Ebenezer Annan
20,MF,GHA,Augustine Boakye
No.,Pos.,Nation,Player
21,DF,COD,Dylan Batubinsika
22,FW,GEO,Zuriko Davitashvili
23,DF,FRA,Maxime Bernauer
25,FW,FRA,Djylian N'Guessan
27,DF,GLP,Yvann Maçon
28,MF,SRB,Igor Miladinović
29,MF,MAR,Aïmen Moueffek
30,GK,FRA,Gautier Larsonneur (captain)
31,FW,FRA,Nadir El Jamali
32,FW,BEL,Lucas Stassin
34,DF,SEN,Lassana Traoré
35,DF,FRA,Luan Gadegbeku
38,MF,FRA,Jules Mouton
