# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,IDN,Emil Audero (on loan from Como)
3,DF,ITA,Giuseppe Pezzella
4,DF,ITA,Tommaso Barbieri
6,DF,ITA,Federico Baschirotto
7,MF,ITA,Alessio Zerbin (on loan from Napoli)
8,MF,ITA,Mattia Valoti
9,FW,ITA,Manuel De Luca
10,FW,ENG,Jamie Vardy
11,FW,NOR,Dennis Johnsen
14,FW,CMR,Faris Moumbagna (on loan from Marseille)
15,DF,ITA,Matteo Bianchetti (captain)
16,GK,ITA,Marco Silvestri
17,DF,ITA,Leonardo Sernicola
18,MF,ITA,Michele Collocolo
19,MF,ECU,Jeremy Sarmiento (on loan from Brighton & Hove Albion)
No.,Pos.,Nation,Player
20,FW,ARG,Franco Vázquez
22,DF,ITA,Romano Floriani Mussolini (on loan from Lazio)
23,DF,ITA,Federico Ceccherini
24,DF,ITA,Filippo Terracciano (on loan from AC Milan)
27,MF,BEL,Jari Vandeputte
30,DF,SEN,Mikayil Faye (on loan from Rennes)
32,MF,ARG,Martín Payero (on loan from Udinese)
33,MF,ITA,Alberto Grassi
38,MF,FRA,Warren Bondo (on loan from AC Milan)
48,MF,GEO,Dachi Lordkipanidze
55,DF,ITA,Francesco Folino
69,GK,ITA,Lapo Nava
77,FW,NGA,David Okereke
90,FW,ITA,Federico Bonazzoli
99,FW,PAR,Antonio Sanabria
