# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ESP,Ángel Fortuño
2,DF,ESP,Rubén Sánchez
4,MF,ESP,Urko González de Zárate
5,DF,ESP,Fernando Calero
6,DF,URU,Leandro Cabrera (vice-captain)
7,FW,ESP,Javi Puado (3rd captain)
8,MF,ESP,Edu Expósito
9,FW,ESP,Roberto Fernández
10,MF,ESP,Pol Lozano (4th captain)
11,FW,ESP,Pere Milla
12,DF,ESP,José Salinas
13,GK,SRB,Marko Dmitrović
No.,Pos.,Nation,Player
14,MF,ESP,Ramon Terrats (on loan from Villarreal)
15,DF,ESP,Miguel Rubio
16,FW,ITA,Luca Koleosho (on loan from Burnley)
17,FW,ESP,Jofre Carreras
18,MF,COD,Charles Pickel
19,FW,ESP,Kike García
20,MF,ESP,Antoniu Roca
22,DF,ESP,Carlos Romero (on loan from Villarreal)
23,DF,MAR,Omar El Hilali
24,FW,ENG,Tyrhys Dolan
38,DF,GER,Clemens Riedel
