# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ITA,Alessandro Nunziante
2,DF,GEO,Saba Goglichidze
4,MF,SVN,Sandi Lovrić (vice-captain)
6,MF,ESP,Oier Zarraga
7,FW,SEN,Idrissa Gueye (on loan from Metz)
8,MF,SWE,Jesper Karlström (captain)
9,FW,ENG,Keinan Davis
10,FW,ITA,Nicolò Zaniolo (on loan from Galatasaray)
11,DF,CIV,Hassane Kamara
13,DF,ITA,Nicolò Bertola
14,MF,FRA,Arthur Atta
15,FW,CIV,Vakoun Bayo
16,DF,GER,Matteo Palma
17,FW,ESP,Iker Bravo
18,FW,POL,Adam Buksa
No.,Pos.,Nation,Player
19,DF,NED,Kingsley Ehizibue
24,MF,POL,Jakub Piotrowski
27,DF,BEL,Christian Kabasele
28,DF,FRA,Oumar Solet
29,MF,FRA,Abdoulaye Camara
31,DF,DEN,Thomas Kristensen
32,MF,NED,Jurgen Ekkelenkamp
33,DF,ZIM,Jordan Zemura
38,MF,SCO,Lennon Miller
40,GK,NGA,Maduka Okoye
59,DF,ITA,Alessandro Zanoli (on loan from Napoli)
77,DF,ANG,Rui Modesto
90,GK,ROU,Răzvan Sava
93,GK,ITA,Daniele Padelli
