# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,SUI,Jonas Omlin
2,DF,ITA,Fabio Chiarodia
4,DF,IDN,Kevin Diks
5,DF,GER,Marvin Friedrich
6,MF,GER,Yannik Engelhardt (on loan from Como)
7,MF,AUT,Kevin Stöger
9,FW,FRA,Franck Honorat
10,MF,GER,Florian Neuhaus
11,FW,GER,Tim Kleindienst (captain)
13,MF,USA,Giovanni Reyna
15,FW,BIH,Haris Tabaković (on loan from TSG Hoffenheim)
16,MF,GER,Philipp Sander
17,MF,KOR,Jens Castrop
18,FW,JPN,Shūto Machino
No.,Pos.,Nation,Player
19,FW,CMR,Nathan Ngoumou
20,DF,GER,Luca Netz
22,MF,DEN,Oscar Fraulo
25,FW,GER,Robin Hack
26,DF,GER,Lukas Ullrich
27,MF,GER,Rocco Reitz
28,FW,ARM,Grant-Leon Ranos
29,DF,USA,Joe Scally
30,DF,SUI,Nico Elvedi
33,GK,GER,Moritz Nicolas
34,FW,GER,Charles Herrmann
39,MF,GER,Niklas Swider
42,GK,LUX,Tiago Pereira Cardoso
43,DF,GER,Tyler Meiser
