# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ITA,Nicola Leali
2,MF,NOR,Morten Thorsby
3,DF,ESP,Aarón Martín
5,DF,NOR,Leo Østigård (on loan from Rennes)
8,MF,ROU,Nicolae Stanciu
9,FW,POR,Vitinha
10,FW,BRA,Junior Messias
11,FW,DEN,Albert Grønbæk (on loan from Rennes)
14,MF,CMR,Jean Onana (on loan from Beşiktaş)
15,DF,ENG,Brooke Norton-Cuffy
17,MF,UKR,Ruslan Malinovskyi
18,FW,GHA,Caleb Ekuban
20,DF,ITA,Stefano Sabelli
21,FW,ITA,Jeff Ekhator
22,DF,MEX,Johan Vásquez (captain)
No.,Pos.,Nation,Player
23,MF,ARG,Valentín Carboni (on loan from Inter Milan)
27,DF,ITA,Alessandro Marcandalli
29,FW,ITA,Lorenzo Colombo (on loan from Milan)
30,FW,PAR,Hugo Cuenca
31,GK,SUI,Benjamin Siegrist (on loan from Rapid București)
32,MF,DEN,Morten Frendrup
34,DF,DEN,Sebastian Otoa
35,GK,LTU,Ernestas Lysionok
39,GK,ITA,Daniele Sommariva
40,FW,ITA,Seydou Fini
70,MF,CIV,Maxwel Cornet (on loan from West Ham United)
73,MF,ITA,Patrizio Masini
76,FW,ITA,Lorenzo Venturino
77,MF,ISL,Mikael Egill Ellertsson
