# Table 2
Type,Competition,Titles,Seasons
Domestic,German Champions/Bundesliga,34,"1932, 1968–69, 1971–72, 1972–73, 1973–74, 1979–80, 1980–81, 1984–85, 1985–86, 1986–87, 1988–89, 1989–90, 1993–94, 1996–97, 1998–99, 1999–2000, 2000–01, 2002–03, 2004–05, 2005–06, 2007–08, 2009–10, 2012–13, 2013–14, 2014–15, 2015–16, 2016–17, 2017–18, 2018–19, 2019–20, 2020–21, 2021–22, 2022–23, 2024–25"
Domestic,DFB-Pokal,20,"1956–57, 1965–66, 1966–67, 1968–69, 1970–71, 1981–82, 1983–84, 1985–86, 1997–98, 1999–2000, 2002–03, 2004–05, 2005–06, 2007–08, 2009–10, 2012–13, 2013–14, 2015–16, 2018–19, 2019–20"
Domestic,DFB/DFL-Supercup,11,"1987, 1990, 2010, 2012, 2016, 2017, 2018, 2020, 2021, 2022, 2025"
Domestic,DFL-Ligapokal,6,"1997, 1998, 1999, 2000, 2004, 2007"
Continental,European Cup/UEFA Champions League,6,"1973–74, 1974–75, 1975–76, 2000–01, 2012–13, 2019–20"
Continental,UEFA Cup/UEFA Europa League,1,1995–96
Continental,UEFA/European Cup Winners' Cup,1,1966–67
Continental,UEFA/European Super Cup,2,"2013, 2020"
Worldwide,FIFA Club World Cup,2,"2013, 2020"
Worldwide,Intercontinental Cup,2,"1976, 2001"
