# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,MKD,Stole Dimitrievski
3,DF,ESP,José Copete
4,DF,GUI,Mouctar Diakhaby (4th captain)
5,DF,ESP,César Tárrega (vice-captain)
7,FW,NED,Arnaut Danjuma
8,MF,ESP,Javi Guerra
9,FW,ESP,Hugo Duro
10,MF,POR,André Almeida
11,FW,ESP,Luis Rioja
12,DF,POR,Thierry Correia
13,GK,ESP,Cristian Rivero
14,DF,ESP,José Gayà (captain)
No.,Pos.,Nation,Player
15,MF,ARG,Lucas Beltrán (on loan from Fiorentina)
16,FW,ESP,Diego López
17,FW,BEL,Largie Ramazani (on loan from Leeds United)
18,MF,ESP,Pepelu
19,FW,ESP,Dani Raba
20,DF,GLP,Dimitri Foulquier (3rd captain)
21,DF,ESP,Jesús Vázquez
22,MF,FRA,Baptiste Santamaria
23,MF,SUI,Filip Ugrinić
24,DF,SUI,Eray Cömert
25,GK,ESP,Julen Agirrezabala (on loan from Athletic Bilbao)
