# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,POR,Anthony Lopes
3,DF,FRA,Nicolas Cozza (on loan from VfL Wolfsburg)
5,MF,KOR,Kwon Hyeok-kyu
6,DF,NGA,Chidozie Awaziem
7,MF,KOR,Hong Hyun-seok (on loan from Mainz 05)
8,MF,FRA,Johann Lepenant
10,FW,FRA,Matthis Abline
11,FW,FRA,Herba Guirassy
13,MF,FRA,Francis Coquelin
14,FW,MLI,Amady Camara (on loan from Sturm Graz)
15,FW,SWE,Mayckel Lahdo (on loan from AZ Alkmaar)
17,MF,FRA,Dehmaine Tabibou
18,DF,FRA,Fabien Centonze
No.,Pos.,Nation,Player
19,FW,MAR,Youssef El-Arabi
23,FW,COM,Adel Mahamoud
26,DF,SRB,Uroš Radaković
30,GK,SWE,Patrik Carlgren
31,FW,EGY,Mostafa Mohamed
50,GK,FRA,Alexis Mirbach
52,MF,FRA,Bahmed Deuff
66,MF,FRA,Louis Leroux
72,DF,FRA,Sékou Doucouré
78,DF,FRA,Tylel Tati
80,DF,FRA,Junior Mwanga (on loan from RC Strasbourg)
90,FW,FRA,Yassine Benhattab
98,DF,FRA,Kelvin Amian (captain)
