# 
0,1,2,3
No.,Pos.,Nation,Player
3,DF,SCO,Josh Doig
5,DF,GNB,Fali Candé
6,DF,POL,Sebastian Walukiewicz (on loan from Torino)
7,FW,ITA,Cristian Volpato
9,FW,MAR,Walid Cheddira (on loan from Napoli)
10,FW,ITA,Domenico Berardi (vice-captain)
11,MF,ITA,Daniel Boloca
12,GK,ITA,Giacomo Satalino
13,GK,ITA,Stefano Turati
14,FW,DEN,Laurs Skjellerup
15,DF,ITA,Edoardo Pieragnolo
16,GK,ITA,Gioele Zacchi
17,DF,COL,Yeferson Paz
18,MF,SRB,Nemanja Matić
19,DF,ITA,Filippo Romagna (captain)
No.,Pos.,Nation,Player
20,FW,GAM,Alieu Fadera (on loan from Como)
21,DF,IDN,Jay Idzes
24,FW,ITA,Luca Moro
25,DF,MLI,Woyo Coulibaly (on loan from Leicester City)
26,DF,NED,Cas Odenthal
35,MF,ITA,Luca Lipani
40,MF,BEL,Aster Vranckx (on loan from VfL Wolfsburg)
42,MF,NOR,Kristian Thorstvedt
44,MF,ITA,Edoardo Iannoni
45,FW,FRA,Armand Laurienté
49,GK,KOS,Arijanet Murić (on loan from Ipswich Town)
77,FW,ITA,Nicholas Pierini
80,DF,BIH,Tarik Muharemović
90,MF,CAN,Ismaël Koné (on loan from Marseille)
99,FW,ITA,Andrea Pinamonti
