# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ESP,David Raya
2,DF,FRA,William Saliba
3,DF,ESP,Cristhian Mosquera
4,DF,ENG,Ben White
5,DF,ECU,Piero Hincapié (on loan from Bayer Leverkusen)
6,DF,BRA,Gabriel Magalhães
7,FW,ENG,Bukayo Saka
8,MF,NOR,Martin Ødegaard (captain)
9,FW,BRA,Gabriel Jesus
10,MF,ENG,Eberechi Eze
11,FW,BRA,Gabriel Martinelli
12,DF,NED,Jurriën Timber
No.,Pos.,Nation,Player
13,GK,ESP,Kepa Arrizabalaga
14,FW,SWE,Viktor Gyökeres
16,MF,DEN,Christian Nørgaard
19,FW,BEL,Leandro Trossard
20,FW,ENG,Noni Madueke
22,MF,ENG,Ethan Nwaneri
23,MF,ESP,Mikel Merino
29,FW,GER,Kai Havertz
33,DF,ITA,Riccardo Calafiori
36,MF,ESP,Martín Zubimendi
41,MF,ENG,Declan Rice
49,DF,ENG,Myles Lewis-Skelly
