# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ESP,Unai Simón
2,DF,ESP,Andoni Gorosabel
3,DF,ESP,Dani Vivian
4,DF,ESP,Aitor Paredes
5,DF,ESP,Yeray Álvarez (3rd captain)
6,MF,ESP,Mikel Vesga
7,FW,ESP,Álex Berenguer
8,MF,ESP,Oihan Sancet
9,FW,GHA,Iñaki Williams (captain)
10,FW,ESP,Nico Williams
11,FW,ESP,Gorka Guruzeta
12,DF,ESP,Jesús Areso
14,DF,ESP,Aymeric Laporte
15,DF,ESP,Iñigo Lekue (vice-captain)
No.,Pos.,Nation,Player
16,MF,ESP,Iñigo Ruiz de Galarreta
17,DF,ESP,Yuri Berchiche (4th captain)
18,MF,ESP,Mikel Jauregizar
19,DF,ESP,Adama Boiro
20,MF,ESP,Unai Gómez
21,FW,MAR,Maroan Sannadi
22,FW,ESP,Nico Serrano
23,FW,ESP,Robert Navarro
24,MF,ESP,Beñat Prados
25,FW,ESP,Urko Izeta
27,GK,MEX,Álex Padilla
29,DF,ESP,Unai Egiluz
30,MF,ESP,Alejandro Rego
