# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ESP,Leo Román
2,DF,ESP,Mateu Morey
3,DF,ESP,Toni Lato
4,DF,ALB,Marash Kumbulla (on loan from Roma)
5,MF,EQG,Omar Mascarell
6,MF,ESP,Antonio Sánchez
7,FW,KOS,Vedat Muriqi
8,MF,ESP,Manu Morlanes
9,FW,ESP,Abdón Prats
10,MF,ESP,Sergi Darder
11,FW,JPN,Takuma Asano
12,MF,POR,Samú Costa
No.,Pos.,Nation,Player
13,GK,FIN,Lucas Bergström
14,MF,ESP,Dani Rodríguez
18,FW,ESP,Mateo Joseph (on loan from Leeds United)
19,FW,ESP,Javi Llabrés
20,MF,ESP,Pablo Torre
21,DF,ESP,Antonio Raíllo (captain)
22,DF,COL,Johan Mojica
23,DF,ARG,Pablo Maffeo
24,DF,SVK,Martin Valjent (3rd captain)
25,GK,ESP,Iván Cuéllar
27,DF,ESP,David López
29,FW,ESP,Jan Virgili
