# 
0,1,2,3
No.,Pos.,Nation,Player
3,DF,FRA,Lilian Brassier
4,MF,FIN,Glen Kamara
6,MF,FRA,Djaoui Cissé
7,FW,SUI,Breel Embolo
8,MF,CIV,Seko Fofana
9,FW,FRA,Esteban Lepaul
10,MF,FRA,Ludovic Blas
11,FW,JOR,Musa Al-Taamari
18,DF,CMR,Aboubakar Nagida
21,MF,FRA,Valentin Rongier (captain)
23,GK,FRA,Gauthier Gallon
24,DF,FRA,Anthony Rouault
No.,Pos.,Nation,Player
26,DF,FRA,Quentin Merlin
30,GK,FRA,Brice Samba
33,DF,NED,Hans Hateboer
36,DF,GHA,Alidu Seidu
39,FW,FRA,Mohamed Kader Meïté
45,MF,FRA,Mahdi Camara
48,DF,MAR,Abdelhamid Aït Boudlal
50,GK,FRA,Mathys Silistrie
65,MF,FRA,Nordan Mukiele
95,DF,POL,Przemysław Frankowski (on loan from Galatasaray)
97,DF,FRA,Jérémy Jacquet
