# 
0,1,2,3
No.,Pos.,Nation,Player
4,DF,CHI,Francisco Sierralta
5,MF,FRA,Kévin Danois
7,FW,HAI,Josué Casimir
8,MF,FRA,Nathan Buayi-Kiala
9,FW,FRA,Sékou Mara (on loan from Strasbourg)
10,FW,MLI,Lassine Sinayoko
13,DF,FRA,Telli Siwe
14,DF,GHA,Gideon Mensah
16,GK,GUF,Donovan Léon
17,MF,MAR,Oussama El Azzouzi (on loan from Bologna)
18,MF,SEN,Assane Dioussé
19,FW,CMR,Danny Namaso (on loan from Porto)
20,DF,CIV,Sinaly Diomandé
21,FW,CIV,Lasso Coulibaly
No.,Pos.,Nation,Player
22,DF,NOR,Fredrik Oppegård
23,FW,GHA,Ibrahim Osman (on loan from Brighton & Hove Albion)
27,DF,FRA,Lamine Sy
29,DF,FRA,Marvin Senaya
30,GK,FRA,Tom Negrel
31,FW,FRA,Ryan Rodin
34,MF,FRA,Rudy Matondo
35,DF,FRA,Elikya Legros
36,MF,FRA,Tidiane Devernois
37,GK,FRA,Louis Mezerette
40,GK,FRA,Théo De Percin
42,MF,GHA,Elisha Owusu (captain)
92,DF,CIV,Clément Akpa
