# Real Madrid CF honours
Type,Competition,Titles,Seasons
Domestic,La Liga,36,"1931–32, 1932–33, 1953–54, 1954–55, 1956–57, 1957–58, 1960–61, 1961–62, 1962–63, 1963–64, 1964–65, 1966–67, 1967–68, 1968–69, 1971–72, 1974–75, 1975–76, 1977–78, 1978–79, 1979–80, 1985–86, 1986–87, 1987–88, 1988–89, 1989–90, 1994–95, 1996–97, 2000–01, 2002–03, 2006–07, 2007–08, 2011–12, 2016–17, 2019–20, 2021–22, 2023–24"
Domestic,Copa del Rey,20,"1905, 1906, 1907, 1908, 1917, 1934, 1936, 1946, 1947, 1961–62, 1969–70, 1973–74, 1974–75, 1979–80, 1981–82, 1988–89, 1992–93, 2010–11, 2013–14, 2022–23"
Domestic,Copa de la Liga,1,1985
Domestic,Supercopa de España,13,"1988, 1989, 1990, 1993, 1997, 2001, 2003, 2008, 2012, 2017, 2020, 2022, 2024"
Domestic,Copa Eva Duarte,1,1947
Continental,European Cup/UEFA Champions League,15,"1955–56, 1956–57, 1957–58, 1958–59, 1959–60, 1965–66, 1997–98, 1999–2000, 2001–02, 2013–14, 2015–16, 2016–17, 2017–18, 2021–22, 2023–24"
Continental,UEFA Cup/UEFA Europa League,2,"1984–85, 1985–86"
Continental,UEFA Super Cup,6,"2002, 2014, 2016, 2017, 2022, 2024"
Continental,Latin Cup,2s,"1955, 1957"
Worldwide,FIFA Club World Cup,5,"2014, 2016, 2017, 2018, 2022"
Worldwide,Intercontinental Cup,3s,"1960, 1998, 2002"
Worldwide,FIFA Intercontinental Cup,1,2024
Worldwide,Ibero-American Cup,1,1994
Regional,Campeonato de Madrid/Campeonato Regional Centro,23,"1903, 1905, 1906, 1906–07, 1907–08, 1912–13, 1915–16, 1916–17, 1917–18, 1919–20, 1921–22, 1922–23, 1923–24, 1925–26, 1926–27, 1928–29, 1929–30, 1930–31, 1931–32, 1932–33, 1933–34, 1934–35, 1935–36"
Regional,Copa Federación Centro,4s,"1922–23, 1927–28, 1943–44, 1944–45"
