# 
0,1,2,3
No.,Pos.,Nation,Player
2,MF,BEL,Olivier Deman
3,DF,JPN,Yukinari Sugawara (on loan from Southampton)
4,DF,GER,Niklas Stark
5,DF,GER,Amos Pieper
6,MF,DEN,Jens Stage
7,FW,BEL,Samuel Mbangula
8,DF,GER,Mitchell Weiser
9,FW,GER,Keke Topp
10,MF,GER,Leonardo Bittencourt
11,FW,GER,Justin Njinmah
13,GK,EST,Karl Hein (on loan from Arsenal)
14,MF,BEL,Senne Lynen
17,FW,AUT,Marco Grüll
18,MF,ESP,Cameron Puertas (on loan from Al Qadsiah)
20,MF,AUT,Romano Schmid
21,FW,NOR,Isak Hansen-Aarøen
No.,Pos.,Nation,Player
22,DF,ARG,Julián Malatini
23,DF,SUI,Isaac Schmidt (on loan from Leeds United)
24,MF,CRO,Patrice Čović
25,GK,GER,Markus Kolke
27,DF,NGA,Felix Agu
28,MF,FRA,Skelly Alvero
29,FW,GER,Salim Musah
30,GK,GER,Mio Backhaus
31,DF,GER,Karim Coulibaly
32,DF,AUT,Marco Friedl (captain)
33,DF,GER,Mick Schmetgens
34,MF,GER,Wesley Adeh
37,GK,BUL,Stefan Smarkalev
39,DF,AUT,Maximilian Wöber (on loan from Leeds United)
44,FW,NGA,Victor Boniface (on loan from Bayer Leverkusen)
