# 
0,1,2,3
No.,Pos.,Nation,Player
2,DF,POL,Matty Cash
3,DF,SWE,Victor Lindelöf
4,DF,ENG,Ezri Konsa
5,DF,ENG,Tyrone Mings
6,MF,ENG,Ross Barkley
7,MF,SCO,John McGinn (captain)
8,MF,BEL,Youri Tielemans
9,FW,ENG,Harvey Elliott (on loan from Liverpool)
10,MF,ARG,Emiliano Buendía
11,FW,ENG,Ollie Watkins
12,DF,FRA,Lucas Digne
14,DF,ESP,Pau Torres
No.,Pos.,Nation,Player
16,DF,ESP,Andrés García
17,FW,NED,Donyell Malen
19,FW,ENG,Jadon Sancho (on loan from Manchester United)
22,DF,NED,Ian Maatsen
23,GK,ARG,Emiliano Martínez (vice-captain)
24,MF,BEL,Amadou Onana
26,DF,NED,Lamare Bogarde
27,MF,ENG,Morgan Rogers
29,FW,CIV,Evann Guessand
40,GK,NED,Marco Bizot
44,MF,FRA,Boubacar Kamara
83,MF,ENG,Bradley Burrowes
