# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ENG,Anthony Patterson
3,DF,ENG,Dennis Cirkin
4,MF,ENG,Dan Neil
5,DF,NIR,Daniel Ballard
6,DF,NED,Lutsharel Geertruida (on loan from RB Leipzig)
7,MF,MAR,Chemsdine Talbi
9,FW,NED,Brian Brobbey
11,MF,ENG,Chris Rigg
12,FW,ESP,Eliezer Mayenda
13,MF,ENG,Luke O'Nien
14,FW,ENG,Romaine Mundle
15,DF,PAR,Omar Alderete
16,GK,CMR,Blondy Nna Noukeu
17,DF,MOZ,Reinildo Mandava
18,FW,FRA,Wilson Isidor
19,MF,SEN,Habib Diarra
No.,Pos.,Nation,Player
20,DF,FRA,Nordi Mukiele
21,GK,ENG,Simon Moore
22,GK,NED,Robin Roefs
24,MF,CIV,Simon Adingra
25,MF,BFA,Bertrand Traoré
26,DF,COD,Arthur Masuaku
27,MF,COD,Noah Sadiki
28,MF,FRA,Enzo Le Fée
29,FW,NGA,Ahmed Abdullahi
32,DF,NIR,Trai Hume
33,DF,NOR,Leo Hjelde
34,MF,SUI,Granit Xhaka (captain)
36,MF,COL,Ian Poveda
41,DF,ENG,Zak Johnson
42,DF,ENG,Aji Alese
45,DF,ENG,Joe Anderson
