# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ESP,Álvaro Valles
2,DF,ESP,Héctor Bellerín (3rd captain)
3,DF,ESP,Diego Llorente
4,DF,BRA,Natan
5,DF,ESP,Marc Bartra (vice-captain)
6,MF,ESP,Sergi Altimira
7,FW,BRA,Antony
8,MF,ESP,Pablo Fornals
9,FW,ARG,Chimy Ávila
10,FW,MAR,Abde Ezzalzouli
11,FW,COD,Cédric Bakambu
12,DF,SUI,Ricardo Rodriguez
13,GK,ESP,Adrián
No.,Pos.,Nation,Player
14,MF,MAR,Sofyan Amrabat (on loan from Fenerbahçe)
16,DF,ARG,Valentín Gómez
17,FW,ESP,Rodrigo Riquelme
18,MF,COL,Nelson Deossa
19,FW,COL,Cucho Hernández
20,MF,ARG,Giovani Lo Celso
21,MF,ESP,Marc Roca
22,MF,ESP,Isco (captain)
23,DF,DOM,Junior Firpo
24,DF,ESP,Aitor Ruibal
25,GK,ESP,Pau López
40,DF,ESP,Ángel Ortiz
