# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,SVK,Martin Dúbravka
2,DF,ENG,Kyle Walker
3,DF,NED,Quilindschy Hartman
4,DF,ENG,Joe Worrall
5,DF,FRA,Maxime Estève
6,DF,COD,Axel Tuanzebe
7,FW,DEN,Jacob Bruun Larsen
8,MF,FRA,Lesley Ugochukwu
9,FW,RSA,Lyle Foster
10,FW,ENG,Marcus Edwards
11,FW,ENG,Jaidon Anthony
12,DF,ENG,Bashir Humphreys
13,GK,GER,Max Weiß
14,DF,WAL,Connor Roberts
16,MF,POR,Florentino Luís (on loan from Benfica)
17,FW,FRA,Loum Tchaouna
No.,Pos.,Nation,Player
18,DF,SWE,Hjalmar Ekdal
19,FW,NED,Zian Flemming
22,DF,PER,Oliver Sonne
23,DF,BRA,Lucas Pires
24,MF,IRL,Josh Cullen (captain)
25,FW,SUI,Zeki Amdouni
27,FW,ALB,Armando Broja
28,MF,TUN,Hannibal Mejbri
29,MF,ENG,Josh Laurent
31,MF,BEL,Mike Trésor
32,GK,CZE,Václav Hladký
34,FW,NED,Jaydon Banel
35,FW,ENG,Ashley Barnes
36,DF,GER,Jordan Beyer
44,DF,BEL,Hannes Delcroix
48,FW,BEL,Enock Agyei
