# Chelsea F.C. honours
Type,Competition,Titles,Seasons
Domestic,First Division/Premier League,6,"1954–55, 2004–05, 2005–06, 2009–10, 2014–15, 2016–17"
Domestic,Second Division,2,"1983–84, 1988–89"
Domestic,FA Cup,8,"1969–70, 1996–97, 1999–2000, 2006–07, 2008–09, 2009–10, 2011–12, 2017–18"
Domestic,Football League Cup/EFL Cup,5,"1964–65, 1997–98, 2004–05, 2006–07, 2014–15"
Domestic,FA Charity Shield/FA Community Shield,4,"1955, 2000, 2005, 2009"
Domestic,Full Members' Cup,2s,"1985–86, 1989–90"
Continental,UEFA Champions League,2,"2011–12, 2020–21"
Continental,UEFA Europa League,2,"2012–13, 2018–19"
Continental,UEFA Conference League,1s,2024–25
Continental,UEFA Cup Winners' Cup,2,"1970–71, 1997–98"
Continental,UEFA Super Cup,2,"1998, 2021"
Worldwide,FIFA Club World Cup,2,"2021, 2025"
