# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,GER,Marvin Schwäbe (captain)
2,DF,SUI,Joël Schmied
3,DF,GER,Dominique Heintz
4,DF,GER,Timo Hübers
5,MF,GER,Tom Krauß (on loan from Mainz 05)
6,MF,GER,Eric Martel
7,FW,GER,Luca Waldschmidt
8,MF,BIH,Denis Huseinbašić
9,FW,GER,Ragnar Ache
11,MF,AUT,Florian Kainz
13,MF,GER,Said El Mala
15,DF,GER,Luca Kilian
16,FW,POL,Jakub Kamiński (on loan from VfL Wolfsburg)
17,MF,BEL,Alessio Castro-Montes
No.,Pos.,Nation,Player
18,MF,ISL,Ísak Bergmann Jóhannesson
19,FW,GER,Malek El Mala
20,GK,GER,Ron-Robert Zieler
25,DF,BIH,Jusuf Gazibegović
28,DF,NOR,Sebastian Sebulonsen
29,FW,GER,Jan Thielmann
30,FW,GER,Marius Bülter
32,DF,USA,Kristoffer Lund (on loan from Palermo)
33,DF,NED,Rav van den Berg
34,MF,GER,Fayssal Harchaoui
37,MF,GER,Linton Maina
39,DF,TUR,Cenk Özkacar (on loan from Valencia)
44,GK,GER,Matthias Köbbing
46,MF,BIH,Emin Kujović
