# Stade de Reims honours
Type,Competition,Titles,Seasons/Years
Domestic,Ligue 1,6,"1948–49, 1952–53, 1954–55, 1957–58, 1959–60, 1961–62"
Domestic,Ligue 2,2,"1965–66, 2017–18"
Domestic,Championnat National,1,2003–04
Domestic,CFA 2,2,"1998, 2015–16"
Domestic,Division d'Honneur Nord-Est,1,1994
Domestic,Championnat de France amateur,1,1935
Domestic,Coupe de France,2,"1949–50, 1957–58"
Domestic,Coupe de la Ligue,1,1990–91
Domestic,Trophée des Champions,4,"1955, 1958, 1960, 1966"
International,Latin Cup,1,1953
