# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,FRA,Régis Gurtner
2,DF,FRA,Ruben Aguilar
3,DF,COL,Deiver Machado
4,DF,BIH,Nidal Čelik
5,MF,MNE,Andrija Bulatović
6,DF,AUT,Samson Baidoo
7,FW,FRA,Florian Sotoca (captain)
8,MF,MLI,Mamadou Sangaré
10,MF,FRA,Florian Thauvin
11,FW,FRA,Odsonne Édouard
13,DF,ECU,Jhoanner Chávez
14,DF,FRA,Matthieu Udol
15,MF,NGA,Hamzat Ojediran
19,FW,SEN,Abdallah Sima
No.,Pos.,Nation,Player
20,DF,FRA,Malang Sarr
22,FW,FRA,Wesley Saïd
23,DF,KSA,Saud Abdulhamid (on loan from Roma)
24,DF,FRA,Jonathan Gradit
28,MF,FRA,Adrien Thomasson
29,FW,GUI,Morgan Guilavogui
31,MF,FRA,Alpha Diallo
32,DF,FRA,Kyllian Antonio
33,MF,FRA,Fodé Sylla
35,MF,FRA,Anthony Bermont
37,DF,BFA,Ismaëlo Ganiou
38,FW,FRA,Rayan Fofana
40,GK,FRA,Robin Risser
50,GK,FRA,Ilan Jourdren
