# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,FRA,Guillaume Restes
2,DF,DEN,Rasmus Nicolaisen (captain)
3,DF,USA,Mark McKenzie
4,DF,ENG,Charlie Cresswell
7,FW,ARG,Julián Vignolo
8,MF,GER,Niklas Schmidt
9,FW,CMR,Frank Magri
10,FW,FRA,Yann Gboho
11,FW,ARG,Santiago Hidalgo
12,DF,NOR,Warren Kamanzi
15,FW,NOR,Aron Dønnum
16,GK,NOR,Kjetil Haug
17,MF,GHA,Abu Francis
19,DF,FRA,Djibril Sidibé (captain)
20,FW,BRA,Emersonn
22,MF,ALG,Rafik Messali
No.,Pos.,Nation,Player
23,MF,VEN,Cristian Cásseres Jr.
24,DF,FRA,Dayann Methalie
25,MF,COD,Frédéric Efuele Ngoyala
27,DF,FRA,Nicolas Wasbauer
28,FW,ALG,Darris Zema
30,GK,ESP,Álex Domínguez
31,FW,FRA,Noah Edjouma
34,MF,FRA,Noah Lahmadi
35,DF,FRA,Seny Koumbassa
37,FW,FRA,Ilyas Azizi
40,GK,COM,Naime Said Mchindra
41,FW,FRA,Enzo Faty
42,DF,FRA,Thibaud Garondo
44,DF,FRA,Gaëtan Bakhouche
45,MF,FRA,Alexis Vossah
77,MF,SVK,Mário Sauer
