# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,POL,Łukasz Skorupski
2,DF,SWE,Emil Holm
4,MF,ITA,Tommaso Pobega (on loan from AC Milan)
6,MF,CRO,Nikola Moro
7,FW,ITA,Riccardo Orsolini (3rd vice-captain)
8,MF,SUI,Remo Freuler (2nd vice-captain)
9,FW,ARG,Santiago Castro
10,FW,ITA,Federico Bernardeschi
11,FW,ENG,Jonathan Rowe
13,GK,ITA,Federico Ravaglia
14,DF,NOR,Torbjørn Heggem
16,DF,ITA,Nicolò Casale
17,FW,ITA,Ciro Immobile
19,MF,SCO,Lewis Ferguson (vice-captain)
No.,Pos.,Nation,Player
20,DF,ITA,Nadir Zortea
21,FW,DEN,Jens Odgaard
22,DF,GRE,Charalampos Lykogiannis
24,FW,NED,Thijs Dallinga
25,GK,ITA,Massimo Pessina
26,DF,COL,Jhon Lucumí
28,FW,ITA,Nicolò Cambiaghi
29,DF,ITA,Lorenzo De Silvestri (captain)
30,FW,ARG,Benja Domínguez
33,DF,ESP,Juan Miranda
41,DF,CZE,Martin Vitík
77,MF,GHA,Ibrahim Sulemana (on loan from Atalanta)
80,MF,ITA,Giovanni Fabbian
