# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,SUI,Yann Sommer
2,DF,NED,Denzel Dumfries
6,DF,NED,Stefan de Vrij
7,MF,POL,Piotr Zieliński
8,MF,CRO,Petar Sučić
9,FW,FRA,Marcus Thuram
10,FW,ARG,Lautaro Martínez (captain)
11,MF,BRA,Luis Henrique
12,GK,ITA,Raffaele Di Gennaro
13,GK,ESP,Josep Martínez
14,FW,FRA,Ange-Yoan Bonny
15,DF,ITA,Francesco Acerbi
16,MF,ITA,Davide Frattesi
No.,Pos.,Nation,Player
17,MF,FRA,Andy Diouf
20,MF,TUR,Hakan Çalhanoğlu
22,MF,ARM,Henrikh Mkhitaryan
23,MF,ITA,Nicolò Barella (vice-captain)
25,DF,SUI,Manuel Akanji (on loan from Manchester City)
30,DF,BRA,Carlos Augusto
31,DF,GER,Yann Bisseck
32,DF,ITA,Federico Dimarco
36,DF,ITA,Matteo Darmian
42,DF,ARG,Tomás Palacios
94,FW,ITA,Francesco Pio Esposito
95,DF,ITA,Alessandro Bastoni
