# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,ENG,James Trafford
3,DF,POR,Rúben Dias (vice-captain)
4,MF,NED,Tijjani Reijnders
5,DF,ENG,John Stones (vice-captain)
6,DF,NED,Nathan Aké
7,FW,EGY,Omar Marmoush
8,MF,CRO,Mateo Kovačić
9,FW,NOR,Erling Haaland (vice-captain)
10,MF,FRA,Rayan Cherki
11,MF,BEL,Jérémy Doku
13,GK,ENG,Marcus Bettinelli
14,MF,ESP,Nico González
16,MF,ESP,Rodri (vice-captain)
No.,Pos.,Nation,Player
18,GK,GER,Stefan Ortega
20,MF,POR,Bernardo Silva (captain)
21,DF,ALG,Rayan Aït-Nouri
24,DF,CRO,Joško Gvardiol
25,GK,ITA,Gianluigi Donnarumma
26,MF,BRA,Savinho
27,MF,POR,Matheus Nunes
33,MF,ENG,Nico O'Reilly
44,MF,ENG,Kalvin Phillips
45,DF,UZB,Abdukodir Khusanov
47,MF,ENG,Phil Foden
52,MF,NOR,Oscar Bobb
82,DF,ENG,Rico Lewis
