# 
0,1,2,3
No.,Pos.,Nation,Player
1,GK,GER,Bernd Leno (third captain)
2,DF,NED,Kenny Tete
3,DF,NGA,Calvin Bassey
5,DF,DEN,Joachim Andersen
6,MF,ENG,Harrison Reed
7,FW,MEX,Raúl Jiménez
8,MF,WAL,Harry Wilson
9,FW,BRA,Rodrigo Muniz
10,MF,SCO,Tom Cairney (captain)
11,FW,ESP,Adama Traoré
15,DF,ESP,Jorge Cuenca
16,MF,NOR,Sander Berge
No.,Pos.,Nation,Player
17,MF,NGA,Alex Iwobi
18,FW,SWE,Jonah Kusi-Asare (on loan from Bayern Munich)
19,FW,NGA,Samuel Chukwueze (on loan from AC Milan)
20,MF,SRB,Saša Lukić
21,DF,BEL,Timothy Castagne
22,FW,BRA,Kevin
23,GK,FRA,Benjamin Lecomte
24,MF,ENG,Josh King
30,MF,ENG,Ryan Sessegnon
31,DF,FRA,Issa Diop
32,MF,ENG,Emile Smith Rowe
33,DF,USA,Antonee Robinson (vice-captain)
