# List of international goals scored by Clarence Seedorf
No.,Date,Venue,Opponent,Score,Result,Competition
1,14 December 1994,"De Kuip, Rotterdam",Luxembourg,5–0,5–0,UEFA Euro 1996 qualifying
2,29 March 1995,"De Kuip, Rotterdam",Malta,1–0,4–0,UEFA Euro 1996 qualifying
3,11 October 1995,"Ta' Qali National Stadium, Attard",Malta,4–0,4–0,UEFA Euro 1996 qualifying
4,15 November 1995,"De Kuip, Rotterdam",Norway,1–0,3–0,UEFA Euro 1996 qualifying
5,4 June 1996,"De Kuip, Rotterdam",Republic of Ireland,2–1,3–1,Friendly
6,14 December 1996,"King Baudouin Stadium, Brussels",Belgium,2–0,3–0,1998 FIFA World Cup qualification
7,21 February 1998,"Orange Bowl, Miami",United States,2–0,2–0,Friendly
8,7 October 2000,"GSP Stadium, Nicosia",Cyprus,1–0,4–0,2002 FIFA World Cup qualification
9,7 October 2000,"GSP Stadium, Nicosia",Cyprus,2–0,4–0,2002 FIFA World Cup qualification
10,6 October 2001,"GelreDome, Arnhem",Andorra,2–0,4–0,2002 FIFA World Cup qualification
11,16 October 2002,"Ernst-Happel-Stadion, Vienna",Austria,1–0,3–0,UEFA Euro 2004 qualifying
