# List of international goals scored by Youri Djorkaeff
No.,Date,Venue,Opponent,Score,Result,Competition
1,16 February 1994,"San Paolo Stadium, Naples, Italy",Italy,1–0,1–0,Friendly
2,22 March 1994,"Stade de Gerland, Lyon, France",Chile,2–1,3–1,Friendly
3,29 May 1994,"National Stadium, Tokyo, Japan",Japan,1–0,4–1,1994 Kirin Cup
4,16 August 1995,"Parc des Princes, Paris, France",Poland,1–1,1–1,UEFA Euro 1996 qualifying
5,6 September 1995,"Stade de l'Abbé-Deschamps, Auxerre, France",Azerbaijan,2–0,10–0,UEFA Euro 1996 qualifying
6,6 September 1995,"Stade de l'Abbé-Deschamps, Auxerre, France",Azerbaijan,9–0,10–0,UEFA Euro 1996 qualifying
7,11 October 1995,"Stadionul Steaua, Bucharest, Romania",Romania,2–0,3–1,UEFA Euro 1996 qualifying
8,15 November 1995,"Stade Michel d'Ornano, Caen, France",Israel,2–0,2–0,UEFA Euro 1996 qualifying
9,24 January 1996,"Parc des Princes, Paris, France",Portugal,1–1,3–2,Friendly
10,24 January 1996,"Parc des Princes, Paris, France",Portugal,2–2,3–2,Friendly
11,15 June 1996,"Elland Road, Leeds, England",Spain,1–0,1–1,UEFA Euro 1996
12,31 August 1996,"Parc des Princes, Paris, France",Mexico,2–0,2–0,Friendly
13,9 October 1996,"Parc des Princes, Paris, France",Turkey,3–0,4–0,Friendly
14,2 April 1997,"Parc des Princes, Paris, France",Sweden,1–0,1–0,Friendly
15,11 June 1997,"Parc des Princes, Paris, France",Italy,2–1,2–2,1997 Tournoi de France
16,12 November 1997,"Stade Geoffroy-Guichard, Saint-Etienne, France",Scotland,2–1,2–1,Friendly
17,29 May 1998,"Stade Mohamed V, Casablanca, Morocco",Morocco,2–2,2–2,1998 King Hassan II International Cup Tournament
18,24 June 1998,"Stade de Gerland, Lyon, France",Denmark,1–0,2–1,1998 FIFA World Cup
19,14 November 1998,"Stade de France, Saint-Denis, France",Andorra,2–0,2–0,UEFA Euro 2000 qualifying
20,20 January 1999,"Stade Velodrome, Marseille, France",Morocco,1–0,1–0,Friendly
21,8 September 1999,"Hrazdan Stadium, Yerevan, Armenia",Armenia,1–1,3–2,UEFA Euro 2000 qualifying
22,9 October 1999,"Stade de France, Saint-Denis, France",Iceland,2–1,3–2,UEFA Euro 2000 qualifying
23,4 June 2000,"Stade Mohamed V, Casablanca, Morocco",Japan,2–2,2–2,2000 King Hassan II International Cup Tournament
24,6 June 2000,"Stade Mohamed V, Casablanca, Morocco",Morocco,2–0,5–1,2000 King Hassan II International Cup Tournament
25,16 June 2000,"Jan Breydel Stadium, Bruges, Belgium",Czech Republic,2–1,2–1,UEFA Euro 2000
26,25 June 2000,"Jan Breydel Stadium, Bruges, Belgium",Spain,2–1,2–1,UEFA Euro 2000
27,25 April 2001,"Stade de France, Saint-Denis, France",Portugal,4–0,4–0,Friendly
28,30 May 2001,"Daegu World Cup Stadium, Daegu, South Korea",South Korea,4–0,5–0,2001 FIFA Confederations Cup
