# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National Cup Apps,National Cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Newell's Old Boys,1973,Primera División,2,1,–,–,–,–,–,–,2,1
Newell's Old Boys,1974,Primera División,19,4,–,–,–,–,–,–,19,4
Newell's Old Boys,1975,Primera División,25,6,–,–,4,3,–,–,29,9
Newell's Old Boys,Total,Total,46,11,0,0,4,3,0,0,50,14
Alavés,1975–76,Segunda División,24,3,0,0,–,–,2,1,26,4
Alavés,1976–77,Segunda División,30,8,0,0,–,–,–,–,30,8
Alavés,1977–78,Segunda División,26,4,8,1,–,–,–,–,34,5
Alavés,1978–79,Segunda División,25,5,6,0,–,–,–,–,31,5
Alavés,Total,Total,105,20,14,1,0,0,2,1,121,22
Real Zaragoza,1979–80,La Liga,34,9,6,4,–,–,–,–,40,13
Real Zaragoza,1980–81,La Liga,17,3,0,0,–,–,–,–,17,3
Real Zaragoza,1981–82,La Liga,29,9,9,9,–,–,–,–,38,18
Real Zaragoza,1982–83,La Liga,34,17,4,3,–,–,6,4,44,24
Real Zaragoza,1983–84,La Liga,29,8,4,5,–,–,–,–,33,13
Real Zaragoza,Total,Total,143,46,23,21,0,0,6,4,172,71
Real Madrid,1984–85,La Liga,26,17,2,0,10,4,2,2,40,23
Real Madrid,1985–86,La Liga,32,16,4,1,11,7,–,–,47,24
Real Madrid,1986–87,La Liga,27,7,2,1,4,1,–,–,33,9
Real Madrid,Total,Total,85,40,8,2,25,12,2,2,120,56
Career total,Career total,Career total,379,117,45,24,29,15,10,7,463,163
