# Appearances and goals by national team and year
National team,Year,Apps,Goals
Republic of Ireland,1991,3,0
Republic of Ireland,1992,7,0
Republic of Ireland,1993,9,0
Republic of Ireland,1994,8,1
Republic of Ireland,1995,2,0
Republic of Ireland,1996,2,0
Republic of Ireland,1997,7,2
Republic of Ireland,1998,3,2
Republic of Ireland,1999,4,0
Republic of Ireland,2000,4,0
Republic of Ireland,2001,7,4
Republic of Ireland,2002,2,0
Republic of Ireland,2004,5,0
Republic of Ireland,2005,4,0
Total,Total,67,9
