# Appearances and goals by club, season and competition
Club,Season,League Division,League Apps,League Goals,National cup Apps,National cup Goals,Continental Apps,Continental Goals,Other Apps,Other Goals,Total Apps,Total Goals
Roma,2001–02,Serie A,0,0,3,0,1,0,0,0,4,0
Roma,2002–03,Serie A,4,2,3,0,0,0,—,—,7,2
Roma,2003–04,Serie A,17,0,4,0,6,1,—,—,27,1
Roma,2004–05,Serie A,30,2,5,1,3,1,—,—,38,4
Roma,2005–06,Serie A,34,6,4,0,7,0,—,—,45,6
Roma,2006–07,Serie A,36,2,8,2,10,2,1,0,55,6
Roma,2007–08,Serie A,34,5,6,0,10,0,1,1,51,6
Roma,2008–09,Serie A,33,3,2,0,7,0,1,1,43,4
Roma,2009–10,Serie A,33,7,4,1,12,3,—,—,49,11
Roma,2010–11,Serie A,28,2,4,0,7,1,1,0,40,3
Roma,2011–12,Serie A,32,4,0,0,0,0,—,—,32,4
Roma,2012–13,Serie A,25,0,4,0,—,—,—,—,29,0
Roma,2013–14,Serie A,32,1,4,0,—,—,—,—,36,1
Roma,2014–15,Serie A,26,2,1,1,7,0,—,—,34,3
Roma,2015–16,Serie A,24,1,1,0,6,2,—,—,31,3
Roma,2016–17,Serie A,31,4,1,0,8,1,—,—,40,5
Roma,2017–18,Serie A,22,1,0,0,10,1,—,—,32,2
Roma,2018–19,Serie A,18,1,1,0,4,1,—,—,23,2
Roma,Total,Total,459,43,55,5,98,13,4,2,616,63
Boca Juniors,2019–20,Argentine Primera División,5,0,1,1,1,0,0,0,7,1
Career total,Career total,Career total,464,43,56,6,99,13,4,2,623,64
