# List of international goals scored by Just Fontaine
No.,Date,Venue,Cap,Opponent,Score,Result,Competition
1,17 December 1953,"Parc des Princes, Paris, France",1,Luxembourg,4–0,8–0,1954 FIFA World Cup qualification
2,17 December 1953,"Parc des Princes, Paris, France",1,Luxembourg,6–0,8–0,1954 FIFA World Cup qualification
3,17 December 1953,"Parc des Princes, Paris, France",1,Luxembourg,7–0,8–0,1954 FIFA World Cup qualification
4,13 March 1958,"Parc des Princes, Paris, France",4,Spain,1–1,2–2,Friendly
5,8 June 1958,"Idrottsparken, Norrköping, Sweden",6,Paraguay,1–1,7–3,1958 FIFA World Cup
6,8 June 1958,"Idrottsparken, Norrköping, Sweden",6,Paraguay,2–1,7–3,1958 FIFA World Cup
7,8 June 1958,"Idrottsparken, Norrköping, Sweden",6,Paraguay,5–3,7–3,1958 FIFA World Cup
8,11 June 1958,"Arosvallen, Västerås, Sweden",7,Yugoslavia,1–0,2–3,1958 FIFA World Cup
9,11 June 1958,"Arosvallen, Västerås, Sweden",7,Yugoslavia,2–2,2–3,1958 FIFA World Cup
10,15 June 1958,"Eyravallen, Örebro, Sweden",8,Scotland,2–0,2–1,1958 FIFA World Cup
11,19 June 1958,"Idrottsparken, Norrköping, Sweden",9,Northern Ireland,2–0,4–0,1958 FIFA World Cup
12,19 June 1958,"Idrottsparken, Norrköping, Sweden",9,Northern Ireland,3–0,4–0,1958 FIFA World Cup
13,24 June 1958,"Råsunda Stadium, Solna, Sweden",10,Brazil,1–1,2–5,1958 FIFA World Cup
14,28 June 1958,"Ullevi, Gothenburg, Sweden",11,West Germany,1–0,6–3,1958 FIFA World Cup
15,28 June 1958,"Ullevi, Gothenburg, Sweden",11,West Germany,3–1,6–3,1958 FIFA World Cup
16,28 June 1958,"Ullevi, Gothenburg, Sweden",11,West Germany,5–2,6–3,1958 FIFA World Cup
17,28 June 1958,"Ullevi, Gothenburg, Sweden",11,West Germany,6–3,6–3,1958 FIFA World Cup
18,1 October 1958,"Parc des Princes, Paris, France",12,Greece,2–0,7–1,UEFA Euro 1960 qualifiers
19,1 October 1958,"Parc des Princes, Paris, France",12,Greece,6–1,7–1,UEFA Euro 1960 qualifiers
20,5 October 1958,"Praterstadion, Vienna, Austria",13,Austria,2–1,2–1,Friendly
21,9 November 1958,"Stade Olympique de Colombes, Colombes, France",15,Italy,2–2,2–2,Friendly
22,11 November 1959,"Stade Olympique de Colombes, Colombes, France",17,Portugal,1–0,5–3,Friendly
23,11 November 1959,"Stade Olympique de Colombes, Colombes, France",17,Portugal,4–2,5–3,Friendly
24,11 November 1959,"Stade Olympique de Colombes, Colombes, France",17,Portugal,5–2,5–3,Friendly
25,13 December 1959,"Stade Olympique de Colombes, Colombes, France",18,Austria,1–0,5–2,UEFA Euro 1960 qualifiers
26,13 December 1959,"Stade Olympique de Colombes, Colombes, France",18,Austria,2–0,5–2,UEFA Euro 1960 qualifiers
27,13 December 1959,"Stade Olympique de Colombes, Colombes, France",18,Austria,4–2,5–2,UEFA Euro 1960 qualifiers
28,17 December 1959,"Parc des Princes, Paris, France",19,Spain,2–1,4–3,Friendly
29,16 March 1960,"Parc des Princes, Paris, France",20,Chile,4–0,6–0,Friendly
30,16 March 1960,"Parc des Princes, Paris, France",20,Chile,5–0,6–0,Friendly
