# List of international goals scored by Dimitar Berbatov
No.,Date,Venue,Opponent,Score,Result,Competition
1,12 February 2000,"Estadio Playa Ancha, Valparaíso",Chile,1–2,2–3,Friendly
2,11 October 2000,"Parken Stadium, Copenhagen",Denmark,1–1,1–1,2002 FIFA World Cup qualification
3,24 March 2001,"Balgarska Armiya Stadium, Sofia",Iceland,2–1,2–1,2002 FIFA World Cup qualification
4,6 June 2001,"Laugardalsvöllur, Reykjavík",Iceland,1–1,1–1,2002 FIFA World Cup qualification
5,1 September 2001,"Ta' Qali National Stadium, Valletta",Malta,1–0,2–0,2002 FIFA World Cup qualification
6,1 September 2001,"Ta' Qali National Stadium, Valletta",Malta,2–0,2–0,2002 FIFA World Cup qualification
7,21 August 2002,"Vasil Levski National Stadium, Sofia",Germany,1–0,2–2,Friendly
8,12 October 2002,"Vasil Levski National Stadium, Sofia",Croatia,2–0,2–0,UEFA Euro 2004 qualification
9,30 April 2003,"Vasil Levski National Stadium, Sofia",Albania,1–0,2–0,Friendly
10,30 April 2003,"Vasil Levski National Stadium, Sofia",Albania,2–0,2–0,Friendly
11,7 June 2003,"Vasil Levski National Stadium, Sofia",Belgium,1–1,2–2,UEFA Euro 2004 qualification
12,20 August 2003,"Vasil Levski National Stadium, Sofia",Lithuania,2–0,3–0,Friendly
13,6 September 2003,"Vasil Levski National Stadium, Sofia",Estonia,2–0,2–0,UEFA Euro 2004 qualification
14,10 September 2003,"Estadi Comunal d'Aixovall, Andorra la Vella",Andorra,1–0,3–0,UEFA Euro 2004 qualification
15,10 September 2003,"Estadi Comunal d'Aixovall, Andorra la Vella",Andorra,2–0,3–0,UEFA Euro 2004 qualification
16,31 March 2004,"Vasil Levski National Stadium, Sofia",Russia,1–1,2–2,Friendly
17,31 March 2004,"Vasil Levski National Stadium, Sofia",Russia,2–2,2–2,Friendly
18,28 April 2004,"Vasil Levski National Stadium, Sofia",Cameroon,1–0,3–0,Friendly
19,28 April 2004,"Vasil Levski National Stadium, Sofia",Cameroon,2–0,3–0,Friendly
20,4 September 2004,"Laugardalsvöllur, Reykjavík",Iceland,1–0,3–1,2006 FIFA World Cup qualification
21,4 September 2004,"Laugardalsvöllur, Reykjavík",Iceland,2–0,3–1,2006 FIFA World Cup qualification
22,9 October 2004,"Stadion Maksimir, Zagreb",Croatia,2–2,2–2,2006 FIFA World Cup qualification
23,13 October 2004,"Ta' Qali National Stadium, Valletta",Malta,1–1,4–1,2006 FIFA World Cup qualification
24,13 October 2004,"Ta' Qali National Stadium, Valletta",Malta,3–1,4–1,2006 FIFA World Cup qualification
25,17 August 2005,"Vasil Levski National Stadium, Sofia",Turkey,1–1,3–1,Friendly
26,17 August 2005,"Vasil Levski National Stadium, Sofia",Turkey,3–1,3–1,Friendly
27,7 September 2005,"Vasil Levski National Stadium, Sofia",Iceland,1–2,3–2,2006 FIFA World Cup qualification
28,8 October 2005,"Vasil Levski National Stadium, Sofia",Hungary,1–0,2–0,2006 FIFA World Cup qualification
29,12 November 2005,"Vasil Levski National Stadium, Sofia",Georgia,3–0,6–2,Friendly
30,12 November 2005,"Vasil Levski National Stadium, Sofia",Georgia,4–0,6–2,Friendly
31,16 November 2005,"Reliant Stadium, Houston",Mexico,3–0,3–0,Friendly
32,7 February 2007,"GSP Stadium, Nicosia",Cyprus,1–0,3–0,Friendly
33,7 February 2007,"GSP Stadium, Nicosia",Cyprus,3–0,3–0,Friendly
34,2 June 2007,"Dinamo Stadium, Minsk",Belarus,1–0,2–0,UEFA Euro 2008 qualification
35,2 June 2007,"Dinamo Stadium, Minsk",Belarus,2–0,2–0,UEFA Euro 2008 qualification
36,12 September 2007,"Vasil Levski National Stadium, Sofia",Luxembourg,1–0,3–0,UEFA Euro 2008 qualification
37,12 September 2007,"Vasil Levski National Stadium, Sofia",Luxembourg,2–0,3–0,UEFA Euro 2008 qualification
38,17 October 2007,"Qemal Stafa Stadium, Tirana",Albania,1–1,1–1,UEFA Euro 2008 qualification
39,21 November 2007,"Arena Petrol, Celje",Slovenia,2–0,2–0,UEFA Euro 2008 qualification
40,20 August 2008,"Bilino Polje, Zenica",Bosnia and Herzegovina,1–0,2–1,Friendly
41,20 August 2008,"Bilino Polje, Zenica",Bosnia and Herzegovina,2–0,2–1,Friendly
42,5 September 2009,"Vasil Levski National Stadium, Sofia",Montenegro,3–1,4–1,2010 FIFA World Cup qualification
43,10 October 2009,"Antonis Papadopoulos Stadium, Larnaca",Cyprus,1–2,1–4,2010 FIFA World Cup qualification
44,14 October 2009,"Vasil Levski National Stadium, Sofia",Georgia,1–0,6–2,2010 FIFA World Cup qualification
45,14 October 2009,"Vasil Levski National Stadium, Sofia",Georgia,3–0,6–2,2010 FIFA World Cup qualification
46,14 October 2009,"Vasil Levski National Stadium, Sofia",Georgia,5–1,6–2,2010 FIFA World Cup qualification
47,18 November 2009,"Hibernians Ground, Paola",Malta,2–1,4–1,Friendly
48,18 November 2009,"Hibernians Ground, Paola",Malta,4–1,4–1,Friendly
